job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry
4171026700,Data Analyst (m/f/d),PAUL Tech AG,On-site,Full-time,"SQL, Python, Tableau, Power BI",English,Berlin,Berlin,Germany,Banking & Financial Services
4175583816,Data Analyst (m/w/d) ,Ströer SE & Co. KGaA,Remote,Full-time,"Databricks, SQL",German,Hamburg,Hamburg,Germany,Digital
4176836312,Data Analyst,Not Found,Remote,Full-time,"Statistics, SQL",English,,,Germany,Unknown
4175509257,BUSINESS INTELLIGENCE ANALYST (M/F/D) ,METRO Markets GmbH,Hybrid,Full-time,"Statistics, Looker, Tableau, Power BI, KPI, SQL",English,Düsseldorf,North Rhine-Westphalia,Germany,Digital
4172918760,BI / Data Analyst (all genders),Distribusion Technologies,Hybrid,Full-time,"A/B testing, Google Cloud Platform, Pandas, Airflow, Looker, Cloud, Google Data Studio, Python, Tableau, Power BI, Google Cloud, SQL, Ruby",English,Berlin,Berlin,Germany,Digital
4117626792,Data Analyst (m/w/d),Artefact,Hybrid,Full-time,"Cloud, SQL, Google Analytics, Adobe Analytics",English,Hamburg,Hamburg,Germany,Digital
4149908431,Data Analyst (m/w/d),torq.partners,Hybrid,Full-time,"Excel/Google Sheets, Looker, Tableau, Power BI, SQL, Google Analytics",German,Berlin,,Germany,Digital
4149905702,Data Analyst (m/w/d),Education partners GmbH,Hybrid,Full-time,"Excel/Google Sheets, Looker, Tableau, Power BI, SQL, Google Analytics",German,Berlin,,Germany,Digital
4145767499,(Senior) Data Analyst / Scientist (m/w/d),Dr. Wolff Group,Hybrid,Full-time,"SQL, Python",German,Bielefeld,North Rhine-Westphalia,Germany,Digital
4170838336,Junior Data Analyst (w/m/d) ,GLS,Hybrid,Full-time,"KPI, Excel, Tableau",German,Eschborn,Hesse,Germany,Digital
4070130794,Data Analyst Logistics (m/f/d) ,ABOUT YOU,Hybrid,Full-time,"CI/CD, cloud data platforms, Python, Tableau, SQL",English,Hamburg,Hamburg,Germany,Digital
4125912087,(Senior) Data Analyst (gn),Bikeleasing-Service Deutschland,Remote,Full-time,"Looker, SQL, Tableau",German,,,Germany,Digital
4175140163,Junior Data Analyst (m/w/d),ELA Container,Hybrid,Full-time,"Excel, R, Python, Tableau, Power BI, SQL",English,Haren,Lower Saxony,Germany,Product
4177963926,Data Analyst (m/w/d),Protection One GmbH,Remote,Full-time,"Microsoft Power BI, SAP, Power Query, Python, Power BI, SQL",German,Monheim,North Rhine-Westphalia,Germany,Banking & Financial Services
4172641155,Data Analyst - Tealium/Treasure Data GDP ,Cognizant Netcentric,Remote,Full-time,"Power BI, Looker, Cloud, SQL, Adobe Analytics, Google Cloud, A/B testing, Google Analytics",English,,,Germany,Digital
