job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry
4171026700,Data Analyst (m/f/d),PAUL Tech AG,On-site,Full-time,"Python, SQL, Power BI, Tableau",English,Berlin,Berlin,Germany,Product
4175583816,Data Analyst (m/w/d) ,Ströer SE & Co. KGaA,Remote,Full-time,"SQL, Databricks",German,Hamburg,Hamburg,Germany,Sales & Marketing
4176836312,Data Analyst,Not Found,Remote,Full-time,"SQL, Statistics",English,Unknown,Unknown,Germany,Unknown
4175509257,BUSINESS INTELLIGENCE ANALYST (M/F/D) ,METRO Markets GmbH,Hybrid,Full-time,"SQL, KPI, Power BI, Tableau, Looker, Statistics",English,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing
4172918760,BI / Data Analyst (all genders),Distribusion Technologies,Hybrid,Full-time,"Pandas, Python, SQL, Google Cloud Platform, Cloud, Power BI, Google Cloud, Airflow, Ruby, A/B testing, Tableau, Google Data Studio, Looker",English,Berlin,Berlin,Germany,Product
4117626792,Data Analyst (m/w/d),Artefact,Hybrid,Full-time,"SQL, Adobe Analytics, Google Analytics, Cloud",English,Hamburg,Hamburg,Germany,Sales & Marketing
4149908431,Data Analyst (m/w/d),torq.partners,Hybrid,Full-time,"SQL, Power BI, Tableau, Google Analytics, Looker, Excel/Google Sheets",German,Berlin,Unknown,Germany,Sales & Marketing
4149905702,Data Analyst (m/w/d),Education partners GmbH,Hybrid,Full-time,"SQL, Power BI, Tableau, Google Analytics, Looker, Excel/Google Sheets",German,Berlin,Unknown,Germany,Sales & Marketing
4145767499,(Senior) Data Analyst / Scientist (m/w/d),Dr. Wolff Group,Hybrid,Full-time,"Python, SQL",German,Bielefeld,North Rhine-Westphalia,Germany,Product
4170838336,Junior Data Analyst (w/m/d) ,GLS,Hybrid,Full-time,"KPI, Excel, Tableau",German,Eschborn,Hesse,Germany,Sales & Marketing
4070130794,Data Analyst Logistics (m/f/d) ,ABOUT YOU,Hybrid,Full-time,"CI/CD, Python, SQL, Tableau, cloud data platforms",English,Hamburg,Hamburg,Germany,Sales & Marketing
4125912087,(Senior) Data Analyst (gn),Bikeleasing-Service Deutschland,Remote,Full-time,"SQL, Looker, Tableau",German,Unknown,Unknown,Germany,Sales & Marketing
4175140163,Junior Data Analyst (m/w/d),ELA Container,Hybrid,Full-time,"Python, SQL, Power BI, Excel, Tableau, R",English,Haren,Lower Saxony,Germany,Product
4177963926,Data Analyst (m/w/d),Protection One GmbH,Remote,Full-time,"SAP, Python, SQL, Power Query, Power BI, Microsoft Power BI",German,Monheim,North Rhine-Westphalia,Germany,Sales & Marketing
4172641155,Data Analyst - Tealium/Treasure Data GDP ,Cognizant Netcentric,Remote,Full-time,"SQL, Cloud, Power BI, Google Cloud, Adobe Analytics, A/B testing, Google Analytics, Looker",English,Unknown,Unknown,Germany,Sales & Marketing
4138920387,Specialist Data Analysis & Portfolio Management (m/w/d)*,Cobalt Deutschland GmbH,Hybrid,Full-time,"Excel, MS Office",German,Frankfurt,Hesse,Germany,Sales & Marketing
4166261740,Process-Mining Data Analyst (w/m/d) ,E.ON Digital Technology,Hybrid,Full-time,"Python, SQL",English & German,Hannover,Lower Saxony,Germany,Sales & Marketing
4177109410,Working Student Data Analytics ,The Customization Group,Hybrid,Part-time,"MS Office, SQL, KPI, KPI dashboards, Power BI, Excel",English,Cologne,North Rhine-Westphalia,Germany,Product
4172816867,Data Analyst Customer Care (m/w/d) ,WMF,Hybrid,Full-time,QlickCloud,German,Geislingen an der Steige,Baden-Württemberg,Germany,Sales & Marketing
4175540685,Datenanalyst (m/w/d),Bijou Brigitte,Hybrid,Full-time,"MySQL, SQL, Data Statistics, Statistics",German,Hamburg,Unknown,Germany,Sales & Marketing
4169982165,Working Student in Data Analysis,Advantest,On-site,Part-time,"Python, SQL, Azure, Databricks",English,Böblingen,Baden-Württemberg,Germany,Telecom
4176834504,Data Analyst,Jobmesset HR Group,Remote,Part-time,"Python, SQL, R, Statistics",English,Unknown,Unknown,Germany,Product
4161923964,BI-Analyst (m/w/d) ,Storck,Hybrid,Temporary,"Excel, SAP",German,Berlin,Unknown,Germany,Sales & Marketing
3971428888,Bloomwell - Data Analyst (m/w/d) *,Algea Care,On-site,Full-time,"Python, Snowflake, Power BI, MS Power BI",German,Frankfurt,Hesse,Germany,Sales & Marketing
3941631973,Data Analyst (m/w/d),accantec group,On-site,Full-time,"SAP, SQL, Cloud, Azure, SAS, AWS",German,Heidelberg,Baden-Württemberg,Germany,Sales & Marketing
4146384965,Business Intelligence Analyst (m/w/d)* vertriebliche Steuerungssysteme,ALH Gruppe,Hybrid,Full-time,"Python, Excel",German,Stuttgart,Baden-Württemberg,Germany,Sales & Marketing
4130578745,Senior Data & Business Analyst - Strategic Risk (m/w/d),JobRad,Hybrid,Full-time,"Python, SQL, Excel",English & German,Freiburg,Baden-Württemberg,Germany,Sales & Marketing
4157360054,SAP Analytics In-House Consultant ,GetYourGuide,Hybrid,Full-time,"Cloud, SAP",English,Berlin,Berlin,Germany,Product
3826412208,Junior Consultant BI | Spannende Business Intelligence Projekte! (mwd),Vesterling AG,Hybrid,Full-time,"Oracle, MySQL, SQL, OLAP, MS SQL Server, ETL",German,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing
4150424885,Senior Business Analyst - Data Analytics (w-m-d) ,Hamburger Energiewerke GmbH,Hybrid,Full-time,"CI/CD, Cloud, Power BI, Databricks",German,Hamburg,Unknown,Germany,Sales & Marketing
4139489609,Consultant Digital Analytics (m/w/d),Interactive Marketing Group GmbH,Hybrid,Full-time,"PowerBI, R, Google Analytics, Adobe Analytics",German,Hamburg,Unknown,Germany,Sales & Marketing
4174851433,Data Lake & Analy­tics System­ma­nager (m/w/d) ,Techniker Krankenkasse,Hybrid,Full-time,"Azure, SAS",German,Hamburg,Hamburg,Germany,Sales & Marketing
4165481457,"Praktikant Business Intelligence, Data und Analytics (m/w/d) in Düsseldorf ",Vodafone,Hybrid,Full-time,"Docker, Kubernetes, Git, Python, SQL",German,Düsseldorf,North Rhine-Westphalia,Germany,Product
4175024990,Inhouse Business Intelligence Consultant (w/m/x) ,opta data,Hybrid,Full-time,"SQL, Excel, MDX, MS SQL Server",German,Essen,North Rhine-Westphalia,Germany,Sales & Marketing
4169763111,Sales Operations & Business Analyst,LIPOELASTIC Global,On-site,Full-time,"PowerBI, Excel",English,Unterhaching,Bavaria,Germany,Sales & Marketing
4163572973,(Senior) Business Analyst / Data Analyst (m/w/d),Dr. Wolff Group,Hybrid,Full-time,"Python, SQL, R",German,Bielefeld,North Rhine-Westphalia,Germany,Digital
4157161943,(Junior) Consultant Data Analytics Banking (m/w/d) ,PPI AG,Hybrid,Full-time,"Java, MS Office, Python, SQL, R",German,Hamburg,Unknown,Germany,Sales & Marketing
4161291548,CRM Business Analyst (m/w/d) ,Deichmann,NULL,NULL,"MicroStrategy, SQL, Power BI, Excel, Tableau, R",German,Mülheim an der Ruhr,North Rhine-Westphalia,Germany,Sales & Marketing
4161977687,Data Analysis Expert,CTAO,Hybrid,Full-time,"Python, CI/CD, Git",English,Zeuthen,Brandenburg,Germany,Product
4165424140,BI Consultant / Architect - Power BI (m/w/d),Greifenberg,Hybrid,Full-time,"Azure, SQL, Power BI, SAP",German,Aalen,Baden-Württemberg,Germany,Sales & Marketing
4170876450,Online Data Analyst ,TELUS Digital,Remote,Contract,None,English,Augsburg,Bavaria,Germany,Product
4176580289,Regulatory Reporting Data Analyst (w/m/d) ,Uniper,On-site,Full-time,"SQL, Excel, Power BI",German,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing
4174959777,Data Consultant / Consultant Data Analytics (m/f/d) ,expertum Gruppe,Hybrid,Full-time,"SAP, Data Mining, Cloud, Power BI, Microsoft Power BI, Salesforce, Tableau, Qlik, R, ETL",German Required,Waldenburg,Baden-Württemberg,Germany,Sales & Marketing
4171029293,Data Analyst (m/f/d),PAUL Tech AG,On-site,Full-time,"Python, SQL, Power BI, Tableau",English,Mannheim,Baden-Württemberg,Germany,Product
4173642803,Data Analyst* ,Alnatura,NULL,NULL,Power BI,German,Darmstadt,Hesse,Germany,Sales & Marketing
4170799167,Data Analyst (f/m/d),justDice,Hybrid,Full-time,"docker, Python, SQL, Jupyter, Tableau, dbt, R, git",English,Hamburg,Hamburg,Germany,Sales & Marketing
4178433821,(Senior) Data Analyst (f/m/d) ,Holidu,Hybrid,Full-time,"ETL pipelines, AWS Stack, Git, Python, SQL, Athena, KPI, Airflow, Glue, R, Looker, AWS, ETL",English,Munich,Bavaria,Germany,Product
4160238142,Intern (m/f/d) for AI and Data Analysis in Vehicle Lab ,Clarios,NULL,NULL,"Python, SQL, Snowflake, Power BI, Microsoft Power BI",English,Hannover,Lower Saxony,Germany,Product
4169913260,Data Analyst (f/m/d) ,Allianz Global Investors,NULL,NULL,KPI,English,Frankfurt,Hesse,Germany,Product
4136381599,"Technical BI Analyst / BI Product Manager (100 % from the EU, the UK or Switzerland)",NeuroNation - Mind & Brain Health Technology,Remote,Full-time,"A/B tests, Bigquery, Python, SQL, R, PostgreSQL",English,Unknown,Unknown,Germany,Sales & Marketing
4151962502,Trainee Data Analytics (w/m/d) ,PwC Deutschland,Hybrid,Full-time,"Cloud, SAP",German,Unknown,Unknown,Germany,Sales & Marketing
