job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry,Job_Title,Mapped_Skill_Set
4171026700,Data Analyst (m/f/d),PAUL Tech AG,On-site,Full-time,"Python, SQL, Power BI, Tableau",English,Berlin,Berlin,Germany,Product,Data Analyst,"Python, Power BI, Tableau, SQL"
4175583816,Data Analyst (m/w/d) ,Ströer SE & Co. KGaA,Remote,Full-time,"SQL, Databricks",German,Hamburg,Hamburg,Germany,Sales & Marketing,Data Analyst,"Databricks, SQL"
4176836312,Data Analyst,Not Found,Remote,Full-time,"SQL, Statistics",English,Unknown,Unknown,Germany,Unknown,Data Analyst,"Statistics, SQL"
4175509257,BUSINESS INTELLIGENCE ANALYST (M/F/D) ,METRO Markets GmbH,Hybrid,Full-time,"SQL, KPI, Power BI, Tableau, Looker, Statistics",English,Düsseldorf,North Rhine-Westphalia,Germany,Sales & Marketing,Data Analyst,"Power BI, Statistics, Google Data Studio, SQL, KPIs, Tableau"
4172918760,BI / Data Analyst (all genders),Distribusion Technologies,Hybrid,Full-time,"Pandas, Python, SQL, Google Cloud Platform, Cloud, Power BI, Google Cloud, Airflow, Ruby, A/B testing, Tableau, Google Data Studio, Looker",English,Berlin,Berlin,Germany,Product,Data Analyst,"Airflow, Power BI, Google Data Studio, SQL, Python, Ruby, A/B testing, Tableau, GCP"
4117626792,Data Analyst (m/w/d),Artefact,Hybrid,Full-time,"SQL, Adobe Analytics, Google Analytics, Cloud",English,Hamburg,Hamburg,Germany,Sales & Marketing,Data Analyst,"Adobe Analytics, GCP, Google Analytics, SQL"
4149908431,Data Analyst (m/w/d),torq.partners,Hybrid,Full-time,"SQL, Power BI, Tableau, Google Analytics, Looker, Excel/Google Sheets",German,Berlin,Unknown,Germany,Sales & Marketing,Data Analyst,"Power BI, Google Data Studio, Google Analytics, SQL, Excel/Google Sheets, Tableau"
4149905702,Data Analyst (m/w/d),Education partners GmbH,Hybrid,Full-time,"SQL, Power BI, Tableau, Google Analytics, Looker, Excel/Google Sheets",German,Berlin,Unknown,Germany,Sales & Marketing,Data Analyst,"Power BI, Google Data Studio, Google Analytics, SQL, Excel/Google Sheets, Tableau"
4145767499,(Senior) Data Analyst / Scientist (m/w/d),Dr. Wolff Group,Hybrid,Full-time,"Python, SQL",German,Bielefeld,North Rhine-Westphalia,Germany,Product,Data Analyst,"Python, SQL"
4170838336,Junior Data Analyst (w/m/d) ,GLS,Hybrid,Full-time,"KPI, Excel, Tableau",German,Eschborn,Hesse,Germany,Sales & Marketing,Data Analyst,"Excel/Google Sheets, Tableau, KPIs"
4070130794,Data Analyst Logistics (m/f/d) ,ABOUT YOU,Hybrid,Full-time,"CI/CD, Python, SQL, Tableau, cloud data platforms",English,Hamburg,Hamburg,Germany,Sales & Marketing,Data Analyst,"Tableau, Python, SQL, CI/CD"
4125912087,(Senior) Data Analyst (gn),Bikeleasing-Service Deutschland,Remote,Full-time,"SQL, Looker, Tableau",German,Unknown,Unknown,Germany,Sales & Marketing,Data Analyst,"Tableau, Google Data Studio, SQL"
