Skill,Frequency,Country,Job_Title
SQL,586,Germany,Data Analyst
Python,470,Germany,Data Analyst
Tableau,252,Germany,Data Analyst
Power BI,373,Germany,Data Analyst
Databricks,69,Germany,Data Analyst
Statistics,58,Germany,Data Analyst
KPIs,32,Germany,Data Analyst
Google Data Studio,90,Germany,Data Analyst
GCP,224,Germany,Data Analyst
Airflow,33,Germany,Data Analyst
A/B testing,31,Germany,Data Analyst
Ruby,2,Germany,Data Analyst
Google Analytics,66,Germany,Data Analyst
Adobe Analytics,15,Germany,Data Analyst
Excel/Google Sheets,330,Germany,Data Analyst
CI/CD,21,Germany,Data Analyst
R,271,Germany,Data Analyst
SAP,231,Germany,Data Analyst
MS Office,138,Germany,Data Analyst
QlickCloud,2,Germany,Data Analyst
Azure,102,Germany,Data Analyst
Snowflake,57,Germany,Data Analyst
AWS,57,Germany,Data Analyst
SAS,68,Germany,Data Analyst
ETL Tools,75,Germany,Data Analyst
OLAP,9,Germany,Data Analyst
git,22,Germany,Data Analyst
Kubernetes,8,Germany,Data Analyst
Docker,14,Germany,Data Analyst
Java,50,Germany,Data Analyst
MicroStrategy,6,Germany,Data Analyst
Qliksense,43,Germany,Data Analyst
Salesforce,28,Germany,Data Analyst
dbt,41,Germany,Data Analyst
Athena,3,Germany,Data Analyst
Glue,5,Germany,Data Analyst
Lambda,3,Germany,Data Analyst
BigQuery,46,Germany,Data Analyst
PostgresSQL,15,Germany,Data Analyst
ERP,67,Germany,Data Analyst
Matomo,4,Germany,Data Analyst
Alteryx,20,Germany,Data Analyst
Spark,23,Germany,Data Analyst
ML,20,Germany,Data Analyst
PyTorch,5,Germany,Data Analyst
TensorFlow,5,Germany,Data Analyst
MongoDB,2,Germany,Data Analyst
Kafka,4,Germany,Data Analyst
Scipy/scikit-learn,9,Germany,Data Analyst
Talend,12,Germany,Data Analyst
Keras,3,Germany,Data Analyst
NLTK/NLP,2,Germany,Data Analyst
Golang,1,Germany,Data Analyst
Scala,14,Germany,Data Analyst
MATLAB,3,Germany,Data Analyst
Julia,25,Germany,Data Analyst
Quicksight,3,Germany,Data Analyst
Terraform,3,Germany,Data Analyst
AWS,59,Germany,Data Scientist
Python,259,Germany,Data Scientist
GCP,60,Germany,Data Scientist
SQL,127,Germany,Data Scientist
R,93,Germany,Data Scientist
BigQuery,12,Germany,Data Scientist
ML,82,Germany,Data Scientist
PyTorch,47,Germany,Data Scientist
Adobe Analytics,1,Germany,Data Scientist
TensorFlow,45,Germany,Data Scientist
Azure,39,Germany,Data Scientist
Statistics,39,Germany,Data Scientist
Databricks,21,Germany,Data Scientist
Airflow,8,Germany,Data Scientist
Spark,40,Germany,Data Scientist
MicroStrategy,1,Germany,Data Scientist
NLTK/NLP,35,Germany,Data Scientist
Power BI,23,Germany,Data Scientist
MS Office,5,Germany,Data Scientist
Excel/Google Sheets,10,Germany,Data Scientist
SAP,22,Germany,Data Scientist
MATLAB,6,Germany,Data Scientist
CI/CD,14,Germany,Data Scientist
Kubernetes,16,Germany,Data Scientist
XGBoost,3,Germany,Data Scientist
Docker,31,Germany,Data Scientist
Alteryx,2,Germany,Data Scientist
ETL Tools,8,Germany,Data Scientist
A/B testing,11,Germany,Data Scientist
Scala,35,Germany,Data Scientist
git,14,Germany,Data Scientist
Tableau,26,Germany,Data Scientist
Qliksense,11,Germany,Data Scientist
SAS,16,Germany,Data Scientist
Scipy/scikit-learn,47,Germany,Data Scientist
dbt,6,Germany,Data Scientist
Athena,4,Germany,Data Scientist
Glue,1,Germany,Data Scientist
Google Data Studio,7,Germany,Data Scientist
Lambda,1,Germany,Data Scientist
Golang,1,Germany,Data Scientist
Snowflake,20,Germany,Data Scientist
Terraform,4,Germany,Data Scientist
Talend,10,Germany,Data Scientist
Java,54,Germany,Data Scientist
Keras,15,Germany,Data Scientist
Random Forest,14,Germany,Data Scientist
Google Analytics,1,Germany,Data Scientist
Kafka,4,Germany,Data Scientist
ERP,2,Germany,Data Scientist
KPIs,1,Germany,Data Scientist
Julia,3,Germany,Data Scientist
Decision Trees,1,Germany,Data Scientist
PostgresSQL,6,Germany,Data Scientist
MongoDB,1,Germany,Data Scientist
Theano,2,Germany,Data Scientist
Quicksight,1,Germany,Data Scientist
Power BI,58,Germany,Data Engineer
Azure,209,Germany,Data Engineer
SQL,298,Germany,Data Engineer
Databricks,99,Germany,Data Engineer
Python,360,Germany,Data Engineer
ML,37,Germany,Data Engineer
GCP,262,Germany,Data Engineer
Spark,108,Germany,Data Engineer
CI/CD,119,Germany,Data Engineer
AWS,190,Germany,Data Engineer
Terraform,65,Germany,Data Engineer
git,67,Germany,Data Engineer
Airflow,66,Germany,Data Engineer
Tableau,40,Germany,Data Engineer
Kubernetes,78,Germany,Data Engineer
ETL Tools,106,Germany,Data Engineer
